PLAYER,MIN,REB%,TS%,AST%,USG%
Onyeka Okongwu,23.7,13.2,60.8,8.8,16.8
Zaccharie Risacher,23.7,6.6,48.8,6.9,20.5
Dalton Knecht,23.6,8.0,59.4,6.9,17.3
Goga Bitadze,23.5,17.5,66.2,12.3,15.1
Ben Simmons,23.5,13.0,59.6,39.0,12.5
Tristan da Silva,23.1,7.7,51.8,9.1,14.8
Clint Capela,23.0,18.4,58.0,7.7,15.9
Javonte Green,23.0,6.7,54.0,5.0,11.3
Jake LaRavia,22.9,9.2,59.9,18.7,14.2
Tari Eason,22.8,12.3,55.7,6.7,18.9
Aaron Nesmith,22.7,9.4,65.9,5.7,15.4
Duncan Robinson,22.6,5.2,56.3,14.5,20.5
Kris Dunn,22.5,8.1,52.0,15.2,13.9
Immanuel Quickley,22.5,4.1,50.0,33.3,29.8
Scotty Pippen Jr.,22.5,7.2,55.1,31.2,19.6
Sam Hauser,22.4,7.5,59.6,6.3,14.4
Vasilije Mici?,22.0,6.7,44.4,29.3,20.6
Isaiah Stewart,22.0,13.1,62.4,11.5,11.1
Marcus Smart,21.9,4.9,51.2,22.0,19.2
Dean Wade,21.9,10.7,46.7,7.6,11.2
Kyle Lowry,21.9,4.6,55.1,20.6,10.9
Ziaire Williams,21.8,10.6,50.7,8.1,18.9
Spencer Dinwiddie,21.4,4.1,57.9,19.1,14.7
Isaiah Joe,21.4,5.9,57.1,9.9,15.9
Khris Middleton,21.3,6.6,43.4,35.4,18.5
Jaime Jaquez Jr.,21.2,11.2,49.6,16.5,20.4
AJ Green,21.1,5.0,70.0,6.3,13.7
Isaac Okoro,21.1,5.6,63.0,9.8,10.9
Terance Mann,21.0,7.4,52.0,11.7,13.2
Julian Strawther,21.0,4.8,60.4,10.2,16.5
Jaylen Nowell,21.0,5.8,43.0,17.6,21.5
Ben Sheppard,20.9,5.2,56.8,7.9,11.0
Daniel Gafford,20.7,14.9,74.2,8.7,18.0
Georges Niang,20.6,9.1,59.2,7.8,16.8
Obi Toppin,20.6,9.6,65.6,12.4,17.5
Elfrid Payton,20.5,7.2,50.1,45.3,19.4
Keon Ellis,20.5,5.1,65.0,7.1,11.8
DaQuan Jeffries,20.4,9.4,79.0,7.9,16.8
Zach Edey,20.4,16.2,66.0,5.5,18.9
Max Christie,20.3,5.6,56.6,8.9,13.1
Quentin Grimes,20.3,8.1,61.6,9.1,16.7
Jeremiah Robinson-Earl,20.3,11.7,54.1,9.0,15.1
Micah Potter,20.2,15.8,52.6,6.2,10.0
De'Anthony Melton,20.2,7.5,53.9,20.5,22.3
Andre Drummond,20.2,20.5,54.1,4.0,18.1
Sam Merrill,20.0,4.6,55.9,11.3,14.5
Alex Caruso,20.0,6.4,46.5,15.7,13.4
T.J. McConnell,20.0,6.7,59.1,30.6,23.3
Aaron Wiggins,19.9,7.9,55.4,10.0,18.5
Cam Reddish,19.8,5.3,60.5,5.1,8.0
Jonas Valan?i?nas,19.7,19.1,61.8,18.2,23.8
Kevin Porter Jr.,19.7,8.3,47.0,25.2,26.7
Luke Kennard,19.7,6.0,61.0,16.8,12.5
Trey Lyles,19.6,10.1,50.4,6.4,13.3
Moussa Diabate,19.5,18.1,54.8,5.0,8.1
Moritz Wagner,19.4,13.5,65.1,13.2,25.4
KJ Martin,19.1,7.2,72.6,6.5,11.2
Tidjane Salaün,19.0,10.4,46.2,7.9,13.8
Gabe Vincent,19.0,3.0,43.3,6.1,11.2
Ja'Kobe Walter,18.9,7.7,43.8,10.3,19.6
Josh Richardson,18.7,4.2,40.2,11.7,13.4
Cody Williams,18.7,5.7,34.3,9.4,11.4
Nikola Jovi?,18.6,9.8,58.7,10.7,17.0
Robert Williams III,18.5,14.6,78.6,12.6,14.9
Brandon Clarke,18.5,12.3,61.8,7.0,13.9
Precious Achiuwa,18.5,15.9,44.9,9.1,12.7
Jarace Walker,18.2,10.3,54.4,11.1,14.9
Kyle Filipowski,18.2,12.6,58.9,16.6,16.2
Nicolas Batum,18.1,6.9,53.7,10.5,8.9
Garrison Mathews,18.1,2.9,66.1,11.5,14.1
Ty Jerome,18.0,5.6,67.7,26.0,21.4
Andre Jackson Jr.,18.0,8.7,50.9,10.0,12.0
Simone Fontecchio,18.0,8.1,55.0,7.0,14.8
Lindy Waters III,18.0,6.7,52.9,10.2,13.7
