RANK_ID;PLAYER;TEAM;AGE;GP;W;L;MIN;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS
58;Cameron Johnson;BKN;28;24;10;14;32.7;112.6;116.0;-3.3;14.3;2.88;16.1;2.5;11.6;7.0;5.6;61.1;65.2;20.2;97.55;12.3;1598
59;Bennedict Mathurin;IND;22;27;12;15;32.7;112.2;113.8;-1.6;7.7;0.81;9.5;3.9;15.2;9.8;11.7;52.7;59.4;21.9;100.72;9.6;1858
60;Brook Lopez;MIL;36;25;14;11;32.7;113.2;110.8;2.4;6.6;1.34;12.7;3.8;11.0;7.6;9.5;57.6;59.0;14.3;100.10;7.5;1704
61;P.J. Washington;DAL;26;20;16;4;32.7;117.1;109.2;7.9;9.4;1.45;15.6;4.6;18.3;11.6;10.7;52.7;56.3;16.1;102.57;10.0;1400
62;Coby White;CHI;24;24;9;15;32.6;111.8;114.9;-3.1;19.9;1.93;20.4;1.0;9.6;5.3;10.6;53.6;57.7;22.5;106.25;8.7;1734
63;Jalen Green;HOU;22;26;17;9;32.6;109.5;107.2;2.3;12.5;0.96;11.2;1.3;11.7;6.3;11.7;47.0;52.5;25.6;99.77;10.0;1761
64;Jakob Poeltl;TOR;29;25;7;18;32.5;113.3;115.1;-1.8;12.0;1.24;15.3;12.0;21.5;16.7;12.4;59.3;61.5;19.0;101.43;12.6;1715
65;Herbert Jones;NOP;26;9;3;6;32.5;109.6;113.5;-4.0;9.8;1.24;16.2;3.2;8.5;5.9;13.1;51.8;55.0;15.5;101.45;6.3;617
66;Norman Powell;LAC;31;19;10;9;32.4;113.4;112.1;1.3;13.0;1.26;11.4;0.8;8.9;4.8;9.1;60.5;63.8;26.5;99.54;12.1;1275
67;Ivica Zubac;LAC;27;26;14;12;32.4;110.7;106.9;3.8;11.3;1.19;14.4;12.5;26.4;19.4;12.0;59.8;59.8;18.8;98.69;13.8;1731
68;Gradey Dick;TOR;21;21;4;17;32.4;112.7;115.5;-2.8;8.6;1.24;9.8;1.8;7.6;4.7;7.9;50.0;55.4;22.5;100.90;7.9;1424
69;Victor Wembanyama;SAS;20;21;11;10;32.3;110.3;108.3;2.0;21.3;1.08;14.1;6.2;23.6;15.3;13.1;55.4;59.2;30.8;99.98;17.2;1420
70;Tobias Harris;DET;32;25;10;15;32.3;111.1;112.8;-1.7;10.9;1.94;14.8;3.2;17.9;10.5;7.7;51.4;54.8;18.2;98.51;10.3;1653
71;Tyus Jones;PHX;28;25;14;11;32.2;113.4;114.6;-1.2;30.5;6.62;38.0;1.8;6.4;4.1;5.7;61.6;62.8;15.2;100.02;10.9;1683
72;Jalen Williams;OKC;23;25;20;5;32.1;115.2;103.9;11.3;24.2;2.23;19.5;2.7;14.8;8.9;8.7;55.9;58.8;27.1;102.38;15.0;1707
73;Donovan Mitchell;CLE;28;25;21;4;32.0;114.9;104.8;10.0;21.9;2.06;16.5;1.7;12.6;7.2;8.0;54.9;57.7;29.5;102.08;13.6;1702
