,RANK_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
198,191,James Harden,LAC,34,28,18,10,34.1,119.9,112.8,7.1,32.7,3.11,33.9,1.0,12.5,7.1,10.9,59.4,66.0,20.1,97.99,14.2,1948
199,191,Jaylin Williams,OKC,21,28,20,8,11.8,115.6,109.4,6.1,15.5,3.9,27.1,4.0,24.2,14.1,6.9,49.4,53.4,13.5,101.3,9.2,700
200,191,Josh Okogie,PHX,25,28,16,12,19.8,113.4,109.4,4.0,8.8,1.67,16.9,7.5,8.0,7.8,10.1,45.5,52.9,12.9,100.03,6.4,1152
201,191,Kevin Durant,PHX,35,28,14,14,37.1,118.9,114.8,4.1,27.1,1.78,18.6,1.1,15.2,8.5,10.5,58.1,64.3,29.9,99.89,16.9,2167
202,191,RJ Barrett,TOR,23,28,17,11,29.6,114.7,115.3,-0.6,12.0,1.22,11.2,2.6,12.5,7.5,9.2,48.1,53.8,26.5,100.88,9.4,1735
203,191,Shaedon Sharpe,POR,20,28,7,21,34.0,106.4,115.0,-8.6,14.0,1.26,14.8,3.6,11.6,7.4,11.7,48.2,53.2,21.9,99.46,8.1,1965
204,191,Shake Milton,MIN,27,28,20,8,14.5,104.9,107.6,-2.7,14.3,1.6,18.8,1.2,8.6,5.0,11.7,43.8,50.4,17.6,102.79,5.8,870
205,206,Alec Burks,DET,32,27,3,24,19.1,103.6,120.5,-16.9,11.1,2.4,11.6,2.2,8.9,5.4,4.8,47.1,54.4,21.4,103.99,8.5,1119
206,206,Bismack Biyombo,MEM,31,27,11,16,23.8,110.2,116.0,-5.8,9.0,1.38,21.2,8.1,18.2,13.1,15.4,56.3,56.0,10.8,98.24,6.8,1315
207,206,Bryce McGowens,CHA,21,27,6,21,18.3,107.1,118.8,-11.7,7.8,2.0,16.6,1.8,8.8,5.3,8.3,55.4,58.7,12.5,98.19,5.0,1014
208,206,Cameron Johnson,BKN,27,27,11,16,29.0,113.9,114.7,-0.8,12.6,2.48,15.7,3.6,12.6,7.9,6.3,59.3,60.8,19.0,99.57,10.3,1631
209,206,De'Aaron Fox,SAC,26,27,17,10,35.7,118.9,113.7,5.2,26.7,2.37,18.2,2.6,9.9,6.2,7.7,55.2,58.5,31.6,102.82,13.8,2071
210,206,Dean Wade,CLE,27,27,15,12,22.0,112.0,108.1,3.9,5.0,1.77,14.2,4.5,15.9,10.1,8.0,55.9,57.5,9.7,100.39,6.6,1235
211,206,Gary Harris,ORL,29,27,16,11,22.8,114.6,110.3,4.3,10.9,3.57,21.8,2.2,5.4,3.8,6.1,54.5,57.3,12.2,100.55,6.1,1291
212,206,John Konchar,MEM,27,27,8,19,16.5,102.4,113.0,-10.6,11.6,2.77,25.9,5.5,17.9,11.3,9.4,47.7,49.5,9.6,101.8,8.5,940
213,206,Julian Champagnie,SAS,22,27,3,24,14.4,101.3,117.6,-16.2,8.7,1.28,13.5,2.1,10.4,6.1,10.6,55.0,58.0,15.6,103.99,6.9,842
214,206,Kevin Love,MIA,35,27,15,12,19.0,119.4,109.2,10.1,19.5,3.94,23.0,5.2,30.9,18.0,5.8,56.3,60.0,19.8,99.99,14.6,1064
215,206,Kris Dunn,UTA,29,27,13,14,16.2,116.8,114.5,2.2,29.5,3.15,38.2,3.1,12.2,7.8,12.1,51.2,52.6,15.5,102.83,8.8,937
216,206,Precious Achiuwa,NYK,24,27,10,17,16.9,108.0,116.1,-8.1,14.9,1.55,16.8,10.5,19.1,14.6,10.8,49.7,51.2,20.0,100.81,9.8,962
217,206,Santi Aldama,MEM,22,27,11,16,24.0,107.4,110.2,-2.9,12.0,1.88,14.5,5.1,17.1,11.0,7.7,53.8,54.9,18.7,99.27,11.2,1345
218,206,Sasha Vezenkov,SAC,28,27,16,11,12.9,113.3,112.0,1.3,5.0,1.44,8.7,5.8,14.2,10.0,6.0,54.4,55.3,16.2,103.2,8.0,747
219,206,Terance Mann,LAC,27,27,18,9,25.6,118.8,115.8,3.1,9.2,2.94,19.4,4.5,8.6,6.6,6.6,45.8,48.5,12.8,98.72,5.1,1420
220,206,Torrey Craig,CHI,33,27,10,17,21.2,107.6,115.3,-7.7,6.8,1.75,14.6,7.6,14.5,10.8,8.3,52.9,55.3,12.0,98.34,6.4,1164
221,206,Walker Kessler,UTA,22,27,14,13,25.1,110.8,109.8,1.0,4.7,0.69,9.0,10.9,18.8,15.0,13.1,63.1,62.8,13.6,100.61,11.3,1417
222,223,Cam Thomas,BKN,22,26,10,16,29.0,110.9,120.2,-9.2,12.4,1.37,9.6,1.0,7.5,4.1,7.0,48.5,52.7,30.1,101.84,8.7,1610
223,223,Caris LeVert,CLE,29,26,13,13,29.0,113.7,114.7,-0.9,19.9,2.83,18.9,1.7,10.2,5.9,6.7,49.2,52.6,24.1,100.93,10.2,1586
224,223,Danilo Gallinari,WAS,35,26,5,21,14.8,108.4,119.2,-10.8,11.9,2.58,15.9,3.0,16.5,9.7,6.2,51.1,58.1,18.0,103.41,9.7,835
225,223,Davion Mitchell,SAC,25,26,15,11,13.1,98.6,114.1,-15.5,23.3,3.25,30.1,0.8,6.8,3.6,9.2,43.4,45.9,14.8,103.26,4.6,734
226,223,Ish Smith,CHA,35,26,5,21,16.9,100.0,115.1,-15.1,27.6,2.3,39.0,1.7,8.7,5.1,17.0,51.6,52.1,13.0,100.83,6.7,919
